Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Manhattan,Hispanic,2015,4 year August,7111,5233,73.59020996,4741,66.6713562,90.59812927,1034,14.54085255,19.75922012,3707,52.13050079,70.83890533,492,6.918858051,9.401872635,1110,15.60961914,662,9.309520721,18,0.2531289458,88,1.237519383
Manhattan,Hispanic,2014,4 year August,7254,5227,72.05679321,4766,65.70168304,91.18041229,981,13.52357292,18.7679348,3785,52.17810822,72.41247559,461,6.35511446,8.819590569,1246,17.1767292,663,9.139784813,34,0.4687069058,82,1.13041079
Manhattan,Hispanic,2013,4 year August,7125,4961,69.62806702,4526,63.52280807,91.23160553,877,12.30877209,17.67788696,3649,51.21403503,73.55371857,435,6.105263233,8.768393517,1400,19.64912224,665,9.333333015,31,0.4350877106,62,0.8701754212
Manhattan,Hispanic,2012,4 year August,7268,5077,69.85415649,4716,64.88717651,92.88950348,818,11.25481606,16.11187744,3898,53.63236237,76.77762604,361,4.96697855,7.110498428,1387,19.0836544,682,9.383599281,40,0.550357759,74,1.018161774
Manhattan,Hispanic,2019,4 year June,6781,5170,76.24243927,5127,75.60831451,99.16828156,1300,19.17121315,25.14506721,3827,56.43710327,74.02320862,43,0.6341247559,0.8317214847,931,13.72953796,604,8.907240868,14,0.2064592242,58,0.8553310633
Manhattan,Hispanic,2018,4 year June,6981,5378,77.03767395,5358,76.75118256,99.62811279,1848,26.47185135,34.36221695,3510,50.27933121,65.26589966,20,0.2864919007,0.3718854487,906,12.97808361,611,8.752327919,23,0.3294656873,60,0.8594757318
Manhattan,Hispanic,2017,4 year June,7186,5571,77.52574158,5538,77.06652069,99.40764618,2145,29.84970856,38.50296021,3393,47.21681213,60.90468597,33,0.4592262805,0.5923532844,1036,14.41692162,473,6.582243443,23,0.3200668097,77,1.071527958
Manhattan,Hispanic,2016,4 year June,7284,5359,73.57221222,5228,71.77375031,97.55551147,1731,23.76441574,32.30080414,3497,48.00933456,65.25471497,131,1.798462391,2.444485903,1313,18.02581024,483,6.630971909,12,0.1647446454,115,1.578802824
Manhattan,Hispanic,2015,4 year June,7111,4993,70.21515656,4559,64.11193848,91.30783081,1026,14.42835045,20.548769,3533,49.68358994,70.75906372,434,6.103220463,8.692169189,1345,18.91435814,667,9.379834175,18,0.2531289458,88,1.237519383
Manhattan,Hispanic,2014,4 year June,7254,4993,68.83098602,4572,63.02729416,91.56819916,977,13.46843147,19.56739426,3595,49.55886459,72.00080109,421,5.803694725,8.431804657,1480,20.40253639,663,9.139784813,34,0.4687069058,82,1.13041079
